"name","parameter","2.75%","50%","97.5%"
"M1","Intercept",3.22077180540296,3.8478795253914,4.46939844379407
"M1","ZI Intercept",-3.17573653316999,-2.01558929702828,-1.20797166034733
"M1","SD Smooth: DOY",0.0817332276630677,1.4757712902993,7.39286590993556
"M1","SD Smooth: Temp",1.91913952005259,4.48324712154851,12.9631792200693
"M1","sds_sssb_1",0.268209820411726,2.46126968029602,9.12821503352266
"M1","ZI SD Smooth: DOY",0.259872330825976,3.30345413235906,11.5165170400498
"M1","ZI SD Smooth: Temp",2.21002257500009,5.11356801119026,14.8361058867929
"M1","sds_zi_sssb_1",0.0777683812734286,1.47222626314888,7.32818631783029
"M1","SD: bay effect",0.567222876057413,1.01201147425797,1.7156036560731
"M1","SD: site effect",0.317297654242115,0.581603025397482,0.913508048349276
"M1","ZI SD: bay effect",0.0534529955687722,0.765454795996673,2.23563210139656
"M1","ZI SD: site effect",0.990678698725883,1.45491797127379,2.18728077425751
"M2","Intercept",2.64785481574841,3.31653722910084,3.93964068856432
"M2","ZI Intercept",-4.1256020116218,-2.60821345358774,-1.44981698091894
"M2","SD Smooth: DOY",0.0743300495960556,1.34710994911374,7.4045161433064
"M2","ZI SD Smooth: DOY",0.842164278108212,5.46546717919544,17.0782476038073
"M2","SD: bay effect",0.568327987373422,1.03634421165377,1.77955835297347
"M2","SD: site effect",0.445540719044213,0.710960136768593,1.06616766699378
"M2","ZI SD: bay effect",0.274390376637805,1.4401801440717,3.36316655299857
"M2","ZI SD: site effect",1.16161205975056,1.71122033609091,2.53052635261781
"M3","Intercept",-1.08069808801243,-0.835580963606164,-0.584468059113961
"M3","Seine",0.179040764382856,0.348101254583744,0.523384608665111
"M4","Intercept",-0.143164506661901,0.0670224919844207,0.277970511887626
"M4","SD Smooth: FAR",0.148158711727665,2.13320364807223,6.98096184833156
"M5","Intercept",-0.221074808874845,-0.00173664957194978,0.226322784970985
"M5","SD Smooth: FAR",0.792960765671921,2.75156034489908,8.03301510241519
