"","year","trend","ymin","ymax"
"1",1987,0.597262639688105,-0.897551211029187,2.0920764904054
"2",1988,0.434753573092286,-0.924630831480934,1.79413797766551
"3",1989,0.714397891175114,-0.622987918341177,2.0517837006914
"4",1990,0.371452883461524,-0.962524548200553,1.7054303151236
"5",1991,-0.25148932571424,-1.58494287312259,1.08196422169411
"6",1992,0.367987609372403,-0.965385467123257,1.70136068586806
"7",1993,0.15490947645885,-1.17845093114869,1.48826988406639
"8",1994,0.185985609075049,-1.14737078169891,1.51934199984901
"9",1995,0.883055999353045,-0.450286271484788,2.21639827019088
"10",1996,0.900430543182618,-0.43282157322335,2.23368265958859
"11",1997,0.656148194154263,-0.676516641420684,1.98881302972921
"12",1998,-0.292133483866447,-1.6209654864635,1.0366985187306
"13",1999,-0.361557134409465,-1.665139811416,0.942025542597073
"14",2000,0.147927205588858,-0.977352079815294,1.27320649099301
"15",2001,-0.236090862290969,-1.35905169559072,0.886869971008779
"16",2002,-0.444953060544098,-1.72254337301298,0.832637251924782
"17",2003,-0.734522049602135,-1.87174743364686,0.40270333444259
"18",2004,-1.25338869723484,-2.53084967673797,0.0240722822682859
"19",2005,-0.118132877615025,-1.24005033233414,1.00378457710409
"20",2006,0.273616138948843,-0.839945454810064,1.38717773270775
"21",2007,-0.175444336728349,-1.17753442968434,0.826645756227641
"22",2008,-0.0362623335769774,-1.13988145605107,1.06735678889712
"23",2009,-0.258193307669521,-1.25971455208092,0.743327936741876
"24",2010,0.0404569951312134,-1.06431785758862,1.14523184785105
"25",2011,0.193434384158316,-0.823317526236431,1.21018629455306
"26",2012,0.953375667609853,-0.36710999861328,2.27386133383299
"27",2013,1.16728927651161,0.134665639646241,2.19991291337697
"28",2014,-0.247888199916866,-1.57043193378439,1.07465553395066
"29",2015,-1.76617245205894,-2.79896272808492,-0.733382176032965
"30",2016,-0.519388923598575,-1.84199075472847,0.803212907531316
"31",2017,0.829367600882794,-0.203705602535142,1.86244080430073
"32",2018,0.610157111567323,-0.715972744250566,1.93628696738521
"33",2019,-0.853762602490459,-1.91353931532008,0.206014110339165
"34",2020,0.127333529927283,-1.50284418641125,1.75751124626582
