"","year","FAR","source"
"134",2000,0.294117647058823,"GISS.E2.R"
"135",2001,0.564102564102564,"GISS.E2.R"
"136",2002,0.916666666666667,"GISS.E2.R"
"137",2003,0.606060606060606,"GISS.E2.R"
"138",2004,0.571428571428571,"GISS.E2.R"
"139",2005,0.928571428571429,"GISS.E2.R"
"140",2006,0.823529411764706,"GISS.E2.R"
"141",2007,0.555555555555556,"GISS.E2.R"
"142",2008,0.160714285714286,"GISS.E2.R"
"143",2009,0.581395348837209,"GISS.E2.R"
"144",2010,1,"GISS.E2.R"
"145",2011,0.585365853658537,"GISS.E2.R"
"146",2012,0.714285714285714,"GISS.E2.R"
"147",2013,0.555555555555556,"GISS.E2.R"
"148",2014,0.736842105263158,"GISS.E2.R"
"149",2015,0.595238095238095,"GISS.E2.R"
"150",2016,0.375,"GISS.E2.R"
"151",2017,0.7,"GISS.E2.R"
"152",2018,0.425531914893617,"GISS.E2.R"
"153",2019,0.203703703703704,"GISS.E2.R"
"154",2020,1,"GISS.E2.R"
"155",2021,0.120689655172414,"GISS.E2.R"
"156",2022,0.714285714285714,"GISS.E2.R"
"157",2023,0.9,"GISS.E2.R"
"158",2024,0.8125,"GISS.E2.R"
"159",2025,0.692307692307692,"GISS.E2.R"
"160",2026,0.567567567567568,"GISS.E2.R"
"161",2027,0.689655172413793,"GISS.E2.R"
"162",2028,0.552631578947368,"GISS.E2.R"
"163",2029,0.175438596491228,"GISS.E2.R"
"164",2030,0.695652173913043,"GISS.E2.R"
"165",2031,0.909090909090909,"GISS.E2.R"
"166",2032,0.703703703703704,"GISS.E2.R"
"167",2033,1,"GISS.E2.R"
"168",2034,1,"GISS.E2.R"
"169",2035,0.681818181818182,"GISS.E2.R"
"170",2036,0.708333333333333,"GISS.E2.R"
"171",2037,0.833333333333333,"GISS.E2.R"
"172",2038,0.7,"GISS.E2.R"
"173",2039,0.617647058823529,"GISS.E2.R"
"174",2040,0.933333333333333,"GISS.E2.R"
"175",2041,1,"GISS.E2.R"
"176",2042,1,"GISS.E2.R"
"177",2043,1,"GISS.E2.R"
"178",2044,1,"GISS.E2.R"
"179",2045,0.888888888888889,"GISS.E2.R"
"180",2046,0.923076923076923,"GISS.E2.R"
"181",1987,0.976744186046512,"IPSL.CM5A.LR"
"182",1988,0.9,"IPSL.CM5A.LR"
"183",1989,0.977272727272727,"IPSL.CM5A.LR"
"184",1990,0.955555555555556,"IPSL.CM5A.LR"
"185",1991,0.901960784313726,"IPSL.CM5A.LR"
"186",1992,0.0833333333333334,"IPSL.CM5A.LR"
"187",1993,0.696428571428571,"IPSL.CM5A.LR"
"188",1994,0.690909090909091,"IPSL.CM5A.LR"
"189",1995,0.807692307692308,"IPSL.CM5A.LR"
"190",1996,0.596491228070175,"IPSL.CM5A.LR"
"191",1997,0.448275862068966,"IPSL.CM5A.LR"
"192",1998,1,"IPSL.CM5A.LR"
"193",1999,1,"IPSL.CM5A.LR"
"194",2000,1,"IPSL.CM5A.LR"
"195",2001,1,"IPSL.CM5A.LR"
"196",2002,0.938775510204082,"IPSL.CM5A.LR"
"197",2003,1,"IPSL.CM5A.LR"
"198",2004,0.958333333333333,"IPSL.CM5A.LR"
"199",2005,1,"IPSL.CM5A.LR"
"200",2006,0.975609756097561,"IPSL.CM5A.LR"
"201",2007,1,"IPSL.CM5A.LR"
"202",2008,1,"IPSL.CM5A.LR"
"203",2009,0.976190476190476,"IPSL.CM5A.LR"
"204",2010,1,"IPSL.CM5A.LR"
"205",2011,0.975,"IPSL.CM5A.LR"
"206",2012,0.777777777777778,"IPSL.CM5A.LR"
"207",2013,0.811320754716981,"IPSL.CM5A.LR"
"208",2014,0.322033898305085,"IPSL.CM5A.LR"
"209",2015,0.956521739130435,"IPSL.CM5A.LR"
"210",2016,1,"IPSL.CM5A.LR"
"211",2017,1,"IPSL.CM5A.LR"
"212",2018,1,"IPSL.CM5A.LR"
"213",2019,1,"IPSL.CM5A.LR"
"214",2020,1,"IPSL.CM5A.LR"
"215",2021,0.957446808510638,"IPSL.CM5A.LR"
"216",2022,1,"IPSL.CM5A.LR"
"217",2023,1,"IPSL.CM5A.LR"
"218",2024,1,"IPSL.CM5A.LR"
"219",2025,1,"IPSL.CM5A.LR"
"220",2026,1,"IPSL.CM5A.LR"
"221",2027,1,"IPSL.CM5A.LR"
"222",2028,1,"IPSL.CM5A.LR"
"223",2029,1,"IPSL.CM5A.LR"
"224",2030,1,"IPSL.CM5A.LR"
"225",2031,1,"IPSL.CM5A.LR"
"226",2032,1,"IPSL.CM5A.LR"
"227",2033,1,"IPSL.CM5A.LR"
"228",2034,1,"IPSL.CM5A.LR"
"229",2035,1,"IPSL.CM5A.LR"
"230",2036,1,"IPSL.CM5A.LR"
"231",2037,1,"IPSL.CM5A.LR"
"232",2038,1,"IPSL.CM5A.LR"
"233",2039,1,"IPSL.CM5A.LR"
"234",2040,1,"IPSL.CM5A.LR"
"235",2041,1,"IPSL.CM5A.LR"
"236",2042,1,"IPSL.CM5A.LR"
