"","model","year","anom","obs.prob","preind.prob","FAR"
"1","CCSM4",1960,-0.142901439099047,0.55,0.0666666666666667,0.878787878787879
"2","CCSM4",1961,0.294243159786132,0.366666666666667,0.05,0.863636363636364
"3","CCSM4",1962,0.302220324234978,0.333333333333333,0.05,0.85
"4","CCSM4",1963,0.856152070502329,0.133333333333333,0,1
"5","CCSM4",1964,-0.542224108452301,0.716666666666667,0.1,0.86046511627907
"6","CCSM4",1965,-0.910022437110546,0.85,0.183333333333333,0.784313725490196
"7","CCSM4",1966,-0.788141416143686,0.8,0.166666666666667,0.791666666666667
"8","CCSM4",1967,-0.140048355298039,0.533333333333333,0.0666666666666667,0.875
"9","CCSM4",1968,-0.381324678186236,0.65,0.0666666666666667,0.897435897435897
"10","CCSM4",1969,-1.03450067017124,0.866666666666667,0.2,0.769230769230769
"11","CCSM4",1970,-0.454134840295893,0.683333333333333,0.0833333333333333,0.878048780487805
"12","CCSM4",1971,-1.81815131579209,1,0.466666666666667,0.533333333333333
"13","CCSM4",1972,-1.36153361354136,0.95,0.316666666666667,0.666666666666667
"14","CCSM4",1973,-1.36362872713516,0.966666666666667,0.316666666666667,0.672413793103448
"15","CCSM4",1974,-0.544627364198504,0.733333333333333,0.1,0.863636363636364
"16","CCSM4",1975,-1.59985645048354,0.983333333333333,0.4,0.593220338983051
"17","CCSM4",1976,-1.17813042608259,0.916666666666667,0.25,0.727272727272727
"18","CCSM4",1977,0.00272401733757271,0.45,0.05,0.888888888888889
"19","CCSM4",1978,-0.217138545703326,0.6,0.0666666666666667,0.888888888888889
"20","CCSM4",1979,0.380879030605877,0.266666666666667,0.0333333333333333,0.875
"21","CCSM4",1980,-0.245956162521962,0.616666666666667,0.0666666666666667,0.891891891891892
"22","CCSM4",1981,0.462447162411669,0.216666666666667,0.0166666666666667,0.923076923076923
"23","CCSM4",1982,-0.837057019550365,0.833333333333333,0.183333333333333,0.78
"24","CCSM4",1983,0.626917203677137,0.2,0,1
"25","CCSM4",1984,0.336364000169171,0.3,0.0333333333333333,0.888888888888889
"26","CCSM4",1985,-0.589282287374645,0.75,0.1,0.866666666666667
"27","CCSM4",1986,0.333415425091244,0.316666666666667,0.0333333333333333,0.894736842105263
"28","CCSM4",1987,0.0758441856779091,0.433333333333333,0.05,0.884615384615385
"29","CCSM4",1988,-0.442483747791814,0.666666666666667,0.0833333333333333,0.875
"30","CCSM4",1989,0.0779782039873037,0.416666666666667,0.05,0.88
"31","CCSM4",1990,-0.0385396897425241,0.483333333333333,0.05,0.896551724137931
"32","CCSM4",1991,-0.132160999073242,0.5,0.0666666666666667,0.866666666666667
"33","CCSM4",1992,0.152491166438986,0.4,0.05,0.875
"34","CCSM4",1993,0.713634372291098,0.183333333333333,0,1
"35","CCSM4",1994,0.30166005838468,0.35,0.05,0.857142857142857
"36","CCSM4",1995,-0.136547867076718,0.516666666666667,0.0666666666666667,0.870967741935484
"37","CCSM4",1996,-0.166697355255671,0.566666666666667,0.0666666666666667,0.882352941176471
"38","CCSM4",1997,0.939123386929974,0.116666666666667,0,1
"39","CCSM4",1998,0.454095721090473,0.233333333333333,0.0166666666666667,0.928571428571429
"40","CCSM4",1999,-1.04565272684706,0.883333333333333,0.216666666666667,0.754716981132075
"41","CCSM4",2000,-0.345132821298843,0.633333333333333,0.0666666666666667,0.894736842105263
"42","CCSM4",2001,-0.619659713006213,0.766666666666667,0.1,0.869565217391304
"43","CCSM4",2002,0.284724865263887,0.383333333333333,0.05,0.869565217391304
"44","CCSM4",2003,0.73390677675377,0.166666666666667,0,1
"45","CCSM4",2004,0.749672287118091,0.15,0,1
"46","CCSM4",2005,1.16169114679827,0.1,0,1
"47","CCSM4",2006,-0.201629806877698,0.583333333333333,0.0666666666666667,0.885714285714286
"48","CCSM4",2007,-0.824393603474314,0.816666666666667,0.183333333333333,0.775510204081633
"49","CCSM4",2008,-1.29597842313798,0.933333333333333,0.266666666666667,0.714285714285714
"50","CCSM4",2009,-0.698555674079995,0.783333333333333,0.1,0.872340425531915
"51","CCSM4",2010,-0.0301942274965837,0.466666666666667,0.05,0.892857142857143
"52","CCSM4",2011,-0.540656884891217,0.7,0.1,0.857142857142857
"53","CCSM4",2012,-1.09875526358379,0.9,0.233333333333333,0.740740740740741
"54","CCSM4",2013,0.359511167845603,0.283333333333333,0.0333333333333333,0.882352941176471
"55","CCSM4",2014,1.82256839771351,0.0666666666666667,0,1
"56","CCSM4",2015,1.91992081427929,0.05,0,1
"57","CCSM4",2016,1.95547879438075,0.0333333333333333,0,1
"58","CCSM4",2017,0.440752650178692,0.25,0.0333333333333333,0.866666666666667
"59","CCSM4",2018,1.33293179404422,0.0833333333333333,0,1
"60","CCSM4",2019,2.0870844545176,0.0166666666666667,0,1
"61","CCSM4",2020,1.10094550174994,0.1,0,1
"62","GFDL.CM3",1960,-0.142901439099047,0.55,0.316666666666667,0.424242424242424
"63","GFDL.CM3",1961,0.294243159786132,0.366666666666667,0.133333333333333,0.636363636363636
"64","GFDL.CM3",1962,0.302220324234978,0.333333333333333,0.133333333333333,0.6
"65","GFDL.CM3",1963,0.856152070502329,0.133333333333333,0.0833333333333333,0.375
"66","GFDL.CM3",1964,-0.542224108452301,0.716666666666667,0.466666666666667,0.348837209302326
"67","GFDL.CM3",1965,-0.910022437110546,0.85,0.716666666666667,0.156862745098039
"68","GFDL.CM3",1966,-0.788141416143686,0.8,0.616666666666667,0.229166666666667
"69","GFDL.CM3",1967,-0.140048355298039,0.533333333333333,0.316666666666667,0.40625
"70","GFDL.CM3",1968,-0.381324678186236,0.65,0.4,0.384615384615385
"71","GFDL.CM3",1969,-1.03450067017124,0.866666666666667,0.716666666666667,0.173076923076923
